0,75,10,5.0
0,75,98,21.0
1,75,10,13.0
1,75,98,4.0
2,84,10,35.0
2,84,98,53.0
3,84,10,99.0
3,84,98,69.0
4,75,10,57.0
4,75,98,54.0
5,84,10,77.0
5,84,98,68.0
6,75,10,46.0
6,75,98,14.0
7,75,10,9.0
7,75,98,20.0
8,84,10,89.0
8,84,98,75.0
9,84,10,36.0
9,84,98,48.0
11,84,10,39.0
11,84,98,22.0
12,84,10,13.0
12,84,98,10.0
13,84,10,75.0
13,84,98,57.0
14,84,10,23.0
14,84,98,27.0
15,84,10,116.0
15,84,98,103.0
16,84,10,58.0
16,84,98,43.0
17,84,10,23.0
17,84,98,25.0
18,84,10,79.0
18,84,98,97.0
19,84,10,39.0
19,84,98,60.0
20,84,10,50.0
20,84,98,62.0
21,84,10,59.0
21,84,98,51.0
22,84,10,47.0
22,84,98,46.0
23,84,10,38.0
23,84,98,44.0
24,84,98,14.0
25,75,10,55.0
25,75,98,22.0
26,84,10,36.0
26,84,98,15.0
27,84,10,88.0
27,84,98,58.0
28,84,10,49.0
28,84,98,57.0
29,84,10,44.0
29,84,98,20.0
30,84,10,35.0
30,84,98,13.0
31,75,10,24.0
31,75,98,20.0
32,75,10,109.0
32,75,98,80.0
33,75,10,15.0
33,75,98,29.0
34,84,10,89.0
34,84,98,75.0
35,84,10,40.0
35,84,98,49.0
36,75,10,12.0
36,75,98,6.0
37,84,10,19.0
37,84,98,34.0
38,84,10,13.0
38,84,98,3.0
39,84,10,48.0
39,84,98,20.0
40,84,10,66.0
40,84,98,101.0
41,84,10,4.0
41,84,98,29.0
42,75,10,12.0
42,75,98,21.0
43,84,10,36.0
43,84,98,37.0
44,84,10,85.0
44,84,98,82.0
45,84,10,102.0
45,84,98,62.0
46,75,10,32.0
46,75,98,69.0
47,84,10,73.0
47,84,98,51.0
48,84,10,54.0
48,84,98,30.0
49,84,10,70.0
49,84,98,61.0
50,75,10,28.0
50,75,98,19.0
51,84,10,19.0
51,84,98,14.0
52,84,10,70.0
52,84,98,49.0
53,75,98,35.0
54,84,10,39.0
54,84,98,55.0
55,84,10,25.0
55,84,98,6.0
56,84,10,59.0
56,84,98,39.0
57,75,10,49.0
57,75,98,7.0
58,75,10,21.0
58,75,98,10.0
59,84,10,58.0
59,84,98,48.0
60,75,10,14.0
60,75,98,32.0
61,84,10,62.0
61,84,98,48.0
62,84,10,29.0
62,84,98,16.0
63,84,10,69.0
63,84,98,66.0
64,84,10,40.0
64,84,98,60.0
65,84,10,8.0
65,84,98,20.0
66,75,10,49.0
66,75,98,60.0
67,84,10,69.0
67,84,98,66.0
68,84,10,51.0
68,84,98,60.0
69,84,10,21.0
69,84,98,18.0
70,84,10,21.0
70,84,98,4.0
71,84,10,50.0
71,84,98,18.0
72,75,10,44.0
72,84,10,63.0
72,75,98,80.0
72,84,98,21.0
73,75,10,18.0
73,84,10,4.0
73,75,98,15.0
73,84,98,8.0
74,75,10,43.0
74,75,98,38.0
76,75,10,34.0
76,75,98,19.0
77,75,10,38.0
77,84,10,12.0
77,75,98,57.0
77,84,98,16.0
78,75,10,97.0
78,75,98,93.0
79,75,10,16.0
79,84,10,3.0
79,75,98,31.0
79,84,98,2.0
80,84,10,23.0
80,84,98,18.0
81,75,10,55.0
81,75,98,40.0
82,84,10,29.0
82,84,98,33.0
83,84,10,29.0
83,84,98,27.0
85,75,10,32.0
85,84,10,7.0
85,75,98,31.0
85,84,98,14.0
86,84,10,20.0
86,84,98,10.0
87,75,10,80.0
87,84,10,64.0
87,75,98,31.0
87,84,98,62.0
88,75,10,22.0
88,75,98,26.0
89,75,10,128.0
89,75,98,91.0
90,84,10,6.0
90,84,98,25.0
91,84,10,94.0
91,84,98,98.0
92,84,10,30.0
92,84,98,44.0
93,84,10,45.0
93,84,98,56.0
94,75,10,38.0
94,75,98,13.0
95,84,10,63.0
95,84,98,67.0
96,75,10,66.0
96,75,98,102.0
97,84,10,4.0
97,84,98,13.0
99,84,10,5.0
99,84,98,23.0
100,84,10,67.0
100,84,98,45.0
101,75,10,18.0
101,75,98,12.0
102,84,10,19.0
103,75,10,40.0
103,75,98,35.0
104,84,10,42.0
104,84,98,63.0
105,75,10,48.0
105,75,98,57.0
106,75,10,96.0
106,75,98,70.0
107,75,10,15.0
107,75,98,50.0
108,84,10,78.0
108,84,98,67.0
109,84,10,24.0
109,84,98,12.0
110,84,10,33.0
110,84,98,67.0
111,84,10,11.0
111,84,98,22.0
112,84,98,18.0
113,75,10,34.0
113,84,10,13.0
113,75,98,28.0
113,84,98,14.0
114,84,10,14.0
114,84,98,14.0
115,75,10,22.0
115,75,98,5.0
116,84,10,60.0
116,84,98,66.0
117,84,10,44.0
117,84,98,61.0
118,84,10,57.0
118,84,98,34.0
119,84,10,88.0
119,84,98,83.0
120,75,10,87.0
120,75,98,61.0
121,75,10,27.0
121,84,10,37.0
121,75,98,41.0
121,84,98,43.0
122,84,10,64.0
122,84,98,54.0
123,84,10,18.0
123,84,98,5.0
