88,76.0
84,73.0
14,67.0
8,63.0
44,62.0
86,61.0
115,60.0
31,58.0
39,56.0
5,55.0
43,55.0
75,55.0
17,54.0
33,53.0
93,52.0
109,52.0
112,52.0
3,51.0
26,50.0
46,50.0
62,50.0
76,50.0
51,47.0
104,47.0
82,45.0
71,44.0
12,43.0
19,43.0
96,42.0
102,42.0
58,41.0
60,41.0
66,40.0
116,40.0
90,39.0
4,37.0
67,37.0
100,37.0
117,37.0
92,36.0
2,35.0
27,35.0
113,35.0
106,34.0
118,34.0
22,33.0
42,33.0
47,33.0
48,33.0
15,32.0
18,32.0
9,29.0
55,29.0
80,29.0
20,28.0
21,28.0
63,28.0
65,28.0
45,26.0
28,25.0
114,25.0
34,24.0
53,24.0
79,24.0
38,23.0
70,23.0
89,23.0
101,22.0
73,21.0
24,20.0
81,20.0
25,19.0
10,18.0
72,18.0
99,18.0
105,18.0
36,17.0
56,17.0
30,16.0
91,16.0
6,15.0
29,15.0
68,15.0
103,15.0
13,14.0
78,14.0
59,13.0
83,13.0
49,12.0
52,12.0
77,12.0
87,12.0
32,11.0
50,11.0
61,11.0
74,11.0
85,11.0
110,11.0
119,11.0
0,10.0
16,10.0
40,10.0
41,10.0
107,10.0
7,9.0
11,9.0
54,9.0
95,9.0
37,8.0
64,8.0
57,7.0
69,7.0
97,7.0
98,7.0
1,6.0
35,6.0
23,5.0
94,5.0
108,5.0
111,5.0
